name	Kana	code
千代田区	ちよだく	131016
中央区	ちゅうおうく	131024
港区	みなとく	131032
新宿区	しんじゅくく	131041
文京区	ぶんきょうく	131059
台東区	たいとうく	131067
墨田区	すみだく	131075
江東区	こうとうく	131083
品川区	しながわく	131091
目黒区	めぐろく	131105
大田区	おおたく	131113
世田谷区	せたがやく	131121
渋谷区	しぶやく	131130
中野区	なかのく	131148
杉並区	すぎなみく	131156
豊島区	としまく	131164
北区	きたく	131172
荒川区	あらかわく	131181
板橋区	いたばしく	131199
練馬区	ねりまく	131202
足立区	あだちく	131211
葛飾区	かつしかく	131229
江戸川区	えどがわく	131237
八王子市	はちおうじし	132012
立川市	たちかわし	132021
武蔵野市	むさしのし	132039
三鷹市	みたかし	132047
青梅市	おうめし	132055
府中市	ふちゅうし	132063
昭島市	あきしまし	132071
調布市	ちょうふし	132080
町田市	まちだし	132098
小金井市	こがねいし	132101
小平市	こだいらし	132110
日野市	ひのし	132128
東村山市	ひがしむらやまし	132136
国分寺市	こくぶんじし	132144
国立市	くにたちし	132152
福生市	ふっさし	132187
狛江市	こまえし	132195
東大和市	ひがしやまとし	132209
清瀬市	きよせし	132217
東久留米市	ひがしくるめし	132225
武蔵村山市	むさしむらやまし	132233
多摩市	たまし	132241
稲城市	いなぎし	132250
羽村市	はむらし	132276
あきる野市	あきるのし	132284
西東京市	にしとうきょうし	132292
瑞穂町	みずほまち	133035
日の出町	ひのでまち	133051
檜原村	ひのはらむら	133078
奥多摩町	おくたままち	133086
大島町	おおしままち	133612
利島村	としまむら	133621
新島村	にいじまむら	133639
神津島村	こうづしまむら	133647
三宅村	みやけむら	133817
御蔵島村	みくらじまむら	133825
八丈町	はちじょうまち	134015
青ヶ島村	あおがしまむら	134023
小笠原村	おがさわらむら	134210
